row_id,year,region,region_norm,title,url,videoId,videoId_is_valid,videoId_occurrences,is_duplicate_videoId,views,views_raw,views_is_missing,views_snapshot_date,tags_list,tags,tags_raw,tag1,tag2,tag3,tag4,tag5
1578,2023,Argentina,argentina,Hasta Acá Llegamos🔑🔒Cerramos el chalet familiar en las sierras de Córdoba: fin de obra por ahora🏠 😢,https://youtu.be/7tbOtvpk8P8,7tbOtvpk8P8,True,1,False,213239,213239,False,2026-02-10,"[""renovando hotel argentina"", ""renovación casa de campo córdoba"", ""restaurando hotel argentina"", ""vida de campo argentina"", ""refaccionando hotel argentina""]","renovando hotel argentina, renovación casa de campo córdoba, restaurando hotel argentina, vida de campo argentina, refaccionando hotel argentina","renovando hotel argentina, renovación casa de campo córdoba, restaurando hotel argentina, vida de campo argentina, refaccionando hotel argentina",renovando hotel argentina,renovación casa de campo córdoba,restaurando hotel argentina,vida de campo argentina,refaccionando hotel argentina
1579,2023,Argentina,argentina,"De hotel abandonado a gran proyecto familiar: Tour, inspección, anécdotas y historia serrano 🏚️",https://youtu.be/5sNSuGIJ-uU,5sNSuGIJ-uU,True,1,False,231135,231135,False,2026-02-10,"[""renovando hotel argentina"", ""hotel sierras de cordoba"", ""hotel sierras cordobesas"", ""restaurando hotel argentina"", ""renovando hotel en argentina""]","renovando hotel argentina, hotel sierras de cordoba, hotel sierras cordobesas, restaurando hotel argentina, renovando hotel en argentina","renovando hotel argentina, hotel sierras de cordoba, hotel sierras cordobesas, restaurando hotel argentina, renovando hotel en argentina",renovando hotel argentina,hotel sierras de cordoba,hotel sierras cordobesas,restaurando hotel argentina,renovando hotel en argentina
1580,2023,Argentina,argentina,"Tour de la Propiedad en las Sierras Cordobesas: 30 años de árboles, reliquias y planes de replantar",https://youtu.be/_CHSEdQOPKQ,_CHSEdQOPKQ,True,1,False,163500,163500,False,2026-02-10,"[""propiedad sierras de cordoba"", ""propiedad sierras cordobesas"", ""sierras cordobesas"", ""vida sierras cordobesas"", ""reforestación sierras de córdoba""]","propiedad sierras de cordoba, propiedad sierras cordobesas, sierras cordobesas, vida sierras cordobesas, reforestación sierras de córdoba","propiedad sierras de cordoba, propiedad sierras cordobesas, sierras cordobesas, vida sierras cordobesas, reforestación sierras de córdoba",propiedad sierras de cordoba,propiedad sierras cordobesas,sierras cordobesas,vida sierras cordobesas,reforestación sierras de córdoba
1581,2023,Argentina,argentina,"Un ASADO CAMPESTRE en las Sierras Cordobesas: Vino, Leña y Picada tras Semana de Trabajo 🔥 🍖🪵🍷🏞️",https://youtu.be/gSVEQfSTk1w,gSVEQfSTk1w,True,1,False,433021,433021,False,2026-02-10,"[""asado campestre"", ""asado en sierras de córdoba"", ""asado argentino"", ""asado argentino a la parrilla"", ""asado argentina""]","asado campestre, asado en sierras de córdoba, asado argentino, asado argentino a la parrilla, asado argentina","asado campestre, asado en sierras de córdoba, asado argentino, asado argentino a la parrilla, asado argentina",asado campestre,asado en sierras de córdoba,asado argentino,asado argentino a la parrilla,asado argentina
1582,2023,Argentina,argentina,Restaurando BARANDAL de MADERA y Renovando Viejo Hotel Serrano en Argentina: Lijado y Barniz 🛠️👷,https://youtu.be/c4IWG3QLgYY,c4IWG3QLgYY,True,1,False,151911,151911,False,2026-02-10,"[""renovando hotel en argentina"", ""renovando un hotel"", ""restaurando hotel argentina"", ""restauración hostería córdoba"", ""barnizar madera""]","renovando hotel en argentina, renovando un hotel, restaurando hotel argentina, restauración hostería córdoba, barnizar madera","renovando hotel en argentina, renovando un hotel, restaurando hotel argentina, restauración hostería córdoba, barnizar madera",renovando hotel en argentina,renovando un hotel,restaurando hotel argentina,restauración hostería córdoba,barnizar madera
1583,2023,Argentina,argentina,"Pisos en el chalet 🔨🚧 - de la alegría al desastre en 48 horas | Instalación, Errores y Soluciones",https://youtu.be/ZwFdycqO5QU,ZwFdycqO5QU,True,1,False,186587,186587,False,2026-02-10,"[""instalacion pisos"", ""instalacion porcelanato"", ""renovación chalet córdoba"", ""instalacion porcelanato tipo madera"", ""renovando casa de campo""]","instalacion pisos, instalacion porcelanato, renovación chalet córdoba, instalacion porcelanato tipo madera, renovando casa de campo","instalacion pisos, instalacion porcelanato, renovación chalet córdoba, instalacion porcelanato tipo madera, renovando casa de campo",instalacion pisos,instalacion porcelanato,renovación chalet córdoba,instalacion porcelanato tipo madera,renovando casa de campo
1584,2023,Argentina,argentina,Rescatando los PISOS Originales de LAPACHO y Limpiando Escombros 🏚️ | Refacción de Casa en Argentina,https://youtu.be/Q8l4GFIiHKk,Q8l4GFIiHKk,True,1,False,160890,160890,False,2026-02-10,"[""renovando casa"", ""renovando casa de campo"", ""pisos de lapacho"", ""renovando casa en argentina"", ""renovación chalet serrano""]","renovando casa, renovando casa de campo, pisos de lapacho, renovando casa en argentina, renovación chalet serrano","renovando casa, renovando casa de campo, pisos de lapacho, renovando casa en argentina, renovación chalet serrano",renovando casa,renovando casa de campo,pisos de lapacho,renovando casa en argentina,renovación chalet serrano
1585,2023,Argentina,argentina,Limpiando las CANALETAS y CAÑERIAS 👷🪣 | Refaccionando el Hotel en las Sierras Cordobesas,https://youtu.be/_kmEBUn3yUQ,_kmEBUn3yUQ,True,1,False,162241,162241,False,2026-02-10,"[""renovando hotel en argentina"", ""hotel sierras de cordoba"", ""restaurando hotel en argentina"", ""limpieza de canaletas"", ""refaccion hotel argentina""]","renovando hotel en argentina, hotel sierras de cordoba, restaurando hotel en argentina, limpieza de canaletas, refaccion hotel argentina","renovando hotel en argentina, hotel sierras de cordoba, restaurando hotel en argentina, limpieza de canaletas, refaccion hotel argentina",renovando hotel en argentina,hotel sierras de cordoba,restaurando hotel en argentina,limpieza de canaletas,refaccion hotel argentina
1586,2023,Argentina,argentina,Primer ASADO en la Propiedad en 20+ Años! ⏳ | Un Asado de Obra y Otro con los Bomberos! 🔥👨‍🚒,https://youtu.be/mnf-0KPjBEs,mnf-0KPjBEs,True,1,False,433974,433974,False,2026-02-10,"[""asado de obra"", ""primer asado argentino"", ""asado de obra argentina"", ""primer asado en argentina"", ""asado de obra en cordoba""]","asado de obra, primer asado argentino, asado de obra argentina, primer asado en argentina, asado de obra en cordoba","asado de obra, primer asado argentino, asado de obra argentina, primer asado en argentina, asado de obra en cordoba",asado de obra,primer asado argentino,asado de obra argentina,primer asado en argentina,asado de obra en cordoba
1587,2023,Argentina,argentina,PRIMEROS Días en Las SIERRAS 🍃 | Encontramos la Parrilla Familiar y Fotos Antiguas! 📸✨,https://youtu.be/8pa6iy0e2Og,8pa6iy0e2Og,True,1,False,182621,182621,False,2026-02-10,"[""daniel en argentina"", ""renovando propiedad en argentina"", ""renovando una propiedad en cordoba"", ""renovando un hotel sierras cordobesas"", ""restauración chalet cordobés""]","daniel en argentina, renovando propiedad en argentina, renovando una propiedad en cordoba, renovando un hotel sierras cordobesas, restauración chalet cordobés","daniel en argentina, renovando propiedad en argentina, renovando una propiedad en cordoba, renovando un hotel sierras cordobesas, restauración chalet cordobés",daniel en argentina,renovando propiedad en argentina,renovando una propiedad en cordoba,renovando un hotel sierras cordobesas,restauración chalet cordobés
